EU_circo;code_région;nom_région;chef-lieu_région;numéro_département;nom_département;préfecture;numéro_circonscription;nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Audrieu;14250;14026;49.2;-0.6;0.75
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Authie;14280;14030;49.2;-0.433333;1.07
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Bretteville-sur-Odon;14760;14101;49.166667;-0.416667;0.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Brouay;14250;14109;49.216667;-0.566667;1.52
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Caen;14000;14118;49.183333;-0.35;0.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Carcagny;14740;14135;49.233333;-0.6;1.57
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Carpiquet;14650;14137;49.183333;-0.45;0.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Cheux;14210;14157;49.166667;-0.516667;1.56
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Cristot;14250;14205;49.2;-0.583333;1.01
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Ducy-Sainte-Marguerite;14250;14232;49.216667;-0.616667;0.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Fleury-sur-Orne;14123;14271;49.15;-0.383333;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Fontenay-le-Pesnel;14250;14278;49.166667;-0.583333;1.04
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Grainville-sur-Odon;14210;14311;49.133333;-0.533333;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Juvigny-sur-Seulles;14250;14348;49.166667;-0.616667;0.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Le Mesnil-Patry;14740;14423;49.2;-0.55;0.72
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Loucelles;14250;14380;49.216667;-0.583333;1.2
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Louvigny;14111;14383;49.166667;-0.383333;0.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Mondrainville;14210;14438;49.133333;-0.516667;0.82
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Mouen;14790;14454;49.15;-0.483333;1.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Putot-en-Bessin;14740;14525;49.216667;-0.533333;0.76
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Rots;14980;14543;49.216667;-0.466667;0.76
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Saint-Contest;14280;14566;49.216667;-0.4;0.96
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Sainte-Croix-Grand-Tonne;14740;14568;49.233333;-0.55;0.89
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Saint-Germain-la-Blanche-Herbe;14280;14587;49.183333;-0.4;0.96
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Saint-Vaast-sur-Seulles;14250;14661;49.15;-0.633333;0.85
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Tessel;14250;14684;49.15;-0.583333;1.25
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Tilly-sur-Seulles;14250;14692;49.183333;-0.616667;0.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;1;Vendes;14250;14734;49.15;-0.6;0.99
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Argences;14370;14020;49.133333;-0.166667;0.53
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Banneville-la-Campagne;14940;14036;49.183333;-0.216667;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Cagny;14630;14119;49.15;-0.25;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Canteloup;14370;14134;49.133333;-0.133333;0.63
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Cléville;14370;14163;49.15;-0.1;1.25
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Cuverville;14840;14215;49.183333;-0.266667;0.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Démouville;14840;14221;49.183333;-0.266667;0.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Emiéville;14630;14237;49.15;-0.216667;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Epron;14610;14242;49.216667;-0.366667;1.78
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Giberville;14730;14301;49.183333;-0.283333;0.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Hérouville-Saint-Clair;14200;14327;49.2;-0.316667;0.63
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Ifs;14123;14341;49.133333;-0.35;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Janville;14670;14344;49.166667;-0.15;0.58
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Mondeville;14120;14437;49.166667;-0.316667;0.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Saint-Ouen-du-Mesnil-Oger;14670;14637;49.166667;-0.116667;1.4
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Saint-Pair;14670;14640;49.166667;-0.183333;1.26
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Saint-Pierre-du-Jonquet;14670;14651;49.166667;-0.116667;1.4
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Sannerville;14940;14666;49.183333;-0.216667;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Touffréville;14940;14698;49.183333;-0.216667;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Troarn;14670;14712;49.183333;-0.183333;1.14
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;2;Vimont;14370;14761;49.116667;-0.2;1.03
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Aubigny;14700;14025;48.916667;-0.216667;1.58
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Auquainville;14140;14028;49.05;0.25;1.77
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Barbery;14220;14039;49.016667;-0.35;1.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Barou-en-Auge;14620;14043;48.933333;-0.033333;1.45
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Beaumais;14620;14053;48.9;-0.083333;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bellou;14140;14058;48.983333;0.233333;1.72
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bernières-d'Ailly;14170;14064;48.966667;-0.083333;1.19
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bissières;14370;14075;49.116667;-0.083333;1.44
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Boissey;14170;14081;49.016667;0.05;1.29
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bonnoeil;14700;14087;48.916667;-0.366667;2.22
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Boulon;14220;14090;49.05;-0.4;1.09
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bretteville-le-Rabet;14190;14097;49.016667;-0.266667;0.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bretteville-sur-Dives;14170;14099;49.033333;-0.016667;0.98
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Bretteville-sur-Laize;14680;14100;49.05;-0.333333;0.54
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Castillon-en-Auge;14140;14141;49.033333;0.083333;1.28
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Cauvicourt;14190;14145;49.05;-0.25;0.72
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Cernay;14290;14147;49.016667;0.333333;2.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Cerqueux;14290;14148;49;0.366667;2.12
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Cheffreville-Tonnencourt;14140;14155;49.033333;0.25;1.77
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Cintheaux;14680;14160;49.05;-0.283333;1.2
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Condé-sur-Ifs;14270;14173;49.05;-0.116667;1.15
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Cordey;14700;14180;48.85;-0.233333;2.1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Coupesarte;14140;14189;49.05;0.116667;1.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Courcy;14170;14190;48.966667;-0.05;1.19
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Crèvecoeur-en-Auge;14340;14201;49.116667;0.016667;1.39
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Crocy;14620;14206;48.883333;-0.066667;1.84
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Croissanville;14370;14208;49.116667;-0.1;1.09
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Damblainville;14620;14216;48.916667;-0.116667;1.59
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Epaney;14170;14240;48.95;-0.166667;2.04
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Eraines;14700;14244;48.9;-0.166667;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Ernes;14270;14245;49.016667;-0.133333;1.65
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Estrées-la-Campagne;14190;14252;49.016667;-0.233333;0.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Falaise;14700;14258;48.9;-0.2;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Familly;14290;14259;48.966667;0.35;2.07
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fervaques;14140;14265;49.033333;0.25;1.77
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fontaine-le-Pin;14190;14276;48.966667;-0.283333;1.52
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fourches;14620;14283;48.866667;-0.083333;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fourneaux-le-Val;14700;14284;48.85;-0.266667;2.1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fresné-la-Mère;14700;14289;48.9;-0.116667;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fresney-le-Puceux;14680;14290;49.066667;-0.366667;1.56
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Fresney-le-Vieux;14220;14291;49;-0.383333;0.93
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Friardel;14290;14292;49;0.383333;2.17
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Gouvix;14680;14309;49.033333;-0.3;0.85
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Grainville-Langannerie;14190;14310;49.016667;-0.266667;0.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Grandchamp-le-Château;14140;14313;49.083333;0.066667;1.52
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Grimbosq;14220;14320;49.05;-0.45;1.01
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Heurtevent;14140;14330;48.983333;0.133333;1.42
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Hiéville;14170;14331;49.016667;-0.016667;0.98
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Jort;14170;14345;48.966667;-0.083333;1.19
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Boissière;14340;14082;49.133333;0.15;1.59
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Brévière;14140;14105;48.966667;0.166667;1.52
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Chapelle-Haute-Grue;14140;14153;48.966667;0.15;1.47
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Chapelle-Yvon;14290;14154;49.066667;0.333333;2.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Croupte;14140;14210;49.016667;0.283333;1.87
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Folletière-Abenon;14290;14273;48.983333;0.433333;2.32
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Hoguette;14700;14332;48.883333;-0.166667;1.84
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Houblonnière;14340;14337;49.133333;0.1;1.33
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;La Vespière;14290;14740;49.016667;0.416667;2.27
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Bû-sur-Rouvres;14190;14116;49.033333;-0.183333;0.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Lécaude;14140;14359;49.1;0.083333;1.51
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Détroit;14690;14223;48.866667;-0.35;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Leffard;14700;14360;48.916667;-0.3;1.58
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Marais-la-Chapelle;14620;14402;48.883333;-0.016667;1.84
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Bacley;14140;14414;49;0.15;1.47
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Durand;14140;14418;49.05;0.133333;1.42
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Eudes;14100;14419;49.1;0.183333;1.57
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Germain;14140;14420;49.05;0.183333;1.57
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Mauger;14270;14422;49.083333;0.016667;1.08
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Simon;14140;14425;49.083333;0.1;1.33
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Mesnil-Villement;14690;14427;48.85;-0.366667;2.1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Le Pré-d'Auge;14340;14520;49.15;0.15;1.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Autels-Saint-Bazile;14140;14029;48.933333;0.1;1.45
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Authieux-Papion;14140;14031;49.066667;0.05;1.6
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Isles-Bardel;14690;14343;48.85;-0.333333;2.1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Loges-Saulces;14700;14375;48.866667;-0.3;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Monceaux;14100;14435;49.116667;0.116667;2.15
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Moutiers-en-Auge;14620;14457;48.9;-0.016667;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Les Moutiers-Hubert;14140;14459;48.966667;0.266667;1.82
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Lessard-et-le-Chêne;14140;14362;49.066667;0.116667;1.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Lisieux;14100;14366;49.15;0.233333;1.72
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Lisores;14140;14368;48.966667;0.216667;1.67
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Livarot;14140;14371;49.016667;0.15;1.47
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Louvagny;14170;14381;48.95;-0.05;1.32
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Magny-la-Campagne;14270;14386;49.05;-0.1;0.91
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Magny-le-Freule;14270;14387;49.1;-0.066667;0.83
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Maizières;14190;14394;49.016667;-0.15;1.6
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Martigny-sur-l'Ante;14700;14405;48.9;-0.283333;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Méry-Corbon;14370;14410;49.133333;-0.083333;1.46
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Meulles;14290;14429;48.983333;0.333333;2.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Mittois;14170;14433;49.016667;0.033333;1.13
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Monteille;14270;14444;49.116667;0.05;1.74
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Montviette;14140;14450;49;0.1;1.33
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Morteaux-Couliboeuf;14620;14452;48.933333;-0.066667;1.45
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Mutrécy;14220;14461;49.066667;-0.416667;1.26
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Noron-l'Abbaye;14700;14467;48.9;-0.25;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Norrey-en-Auge;14620;14469;48.916667;-0.016667;1.58
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Notre-Dame-de-Courson;14140;14471;48.983333;0.266667;1.82
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Notre-Dame-de-Livaye;14340;14473;49.116667;0.05;1.18
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Olendon;14170;14476;48.966667;-0.166667;2
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Ouilly-le-Tesson;14190;14486;48.983333;-0.216667;1.06
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Ouville-la-Bien-Tournée;14170;14489;49.05;-0.016667;1.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Percy-en-Auge;14270;14493;49.05;-0.066667;0.83
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Perrières;14170;14497;48.966667;-0.133333;1.51
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Pertheville-Ners;14700;14498;48.866667;-0.116667;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Pierrefitte-en-Cinglais;14690;14501;48.9;-0.383333;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Potigny;14420;14516;48.966667;-0.233333;1.19
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Prêtreville;14140;14522;49.083333;0.25;1.77
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Rapilly;14690;14531;48.866667;-0.333333;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Rouvres;14190;14546;49;-0.166667;1.33
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Cyr-du-Ronceray;14290;14570;49.05;0.3;1.92
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Denis-de-Mailloc;14100;14571;49.1;0.316667;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Désir;14100;14574;49.15;0.216667;1.67
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Sainte-Foy-de-Montgommery;14140;14576;48.95;0.183333;1.57
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Sainte-Marguerite-des-Loges;14140;14615;49.016667;0.2;1.62
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Sainte-Marguerite-de-Viette;14140;14616;49.016667;0.083333;1.28
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Georges-en-Auge;14140;14580;48.983333;0.066667;1.32
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Germain-de-Livet;14100;14582;49.083333;0.216667;1.67
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Germain-Langot;14700;14588;48.916667;-0.316667;1.58
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Germain-le-Vasson;14190;14589;49;-0.3;1.47
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Jean-de-Livet;14100;14595;49.083333;0.233333;1.72
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Julien-de-Mailloc;14290;14599;49.083333;0.333333;2.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Julien-le-Faucon;14140;14600;49.066667;0.083333;1.28
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Laurent-de-Condel;14220;14603;49.05;-0.416667;1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Laurent-du-Mont;14340;14604;49.133333;0.033333;1.13
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Loup-de-Fribois;14340;14608;49.116667;0.016667;1.39
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Martin-de-la-Lieue;14100;14625;49.116667;0.216667;1.67
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Martin-de-Mailloc;14100;14626;49.1;0.316667;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Martin-de-Mieux;14700;14627;48.866667;-0.233333;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Martin-du-Mesnil-Oury;14140;14633;49.033333;0.133333;1.42
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Michel-de-Livet;14140;14634;49.016667;0.133333;1.42
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Ouen-le-Houx;14140;14638;48.983333;0.183333;1.57
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Pierre-Canivet;14700;14646;48.933333;-0.216667;1.45
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Pierre-de-Mailloc;14290;14647;49.066667;0.316667;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Pierre-des-Ifs;14100;14648;49.116667;0.166667;1.52
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Pierre-du-Bû;14700;14649;48.866667;-0.216667;1.97
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Pierre-sur-Dives;14170;14654;49.016667;-0.033333;0.93
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Saint-Sylvain;14190;14659;49.05;-0.216667;0.65
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Sassy;14170;14669;48.983333;-0.133333;1.5
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Soignolles;14190;14674;49.033333;-0.216667;0.67
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Soulangy;14700;14677;48.95;-0.216667;1.32
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Soumont-Saint-Quentin;14420;14678;48.983333;-0.233333;1.11
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Thiéville;14170;14688;49.033333;-0.016667;0.98
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Tordouet;14290;14693;49.05;0.333333;2.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Tortisambert;14140;14696;48.966667;0.116667;1.37
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Tréprel;14690;14710;48.9;-0.35;1.71
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Urville;14190;14719;49.033333;-0.3;1.43
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Ussy;14420;14720;48.95;-0.283333;1.32
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Vendeuvre;14170;14735;48.983333;-0.083333;1.06
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Versainville;14700;14737;48.916667;-0.183333;1.58
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Vicques;14170;14742;48.95;-0.083333;1.32
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Vieux-Fumé;14270;14749;49.05;-0.116667;1.15
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Vignats;14700;14751;48.85;-0.1;2.1
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;3;Villers-Canivet;14420;14753;48.933333;-0.25;1.45
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Ablon;14600;14001;49.4;0.3;2.19
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Amfreville;14860;14009;49.25;-0.233333;1.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Angerville;14430;14012;49.25;-0.033333;1.02
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Annebault;14430;14016;49.25;0.066667;1.8
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Auberville;14640;14024;49.316667;-0.033333;1.54
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Auvillars;14340;14033;49.2;0.066667;1.23
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Basseneville;14670;14045;49.216667;-0.15;1.29
Nord-Ouest;25;Basse-Normandie;Caen;14;Calvados;Caen;4;Bavent;14860;14046;49.233333;-0.183333;0.89
